feature,importance
spy_return_20_day,0.15373044870638947
spy_return_5_day,0.13472792565449987
distance_from_ma_200,0.08298952165943883
price,0.06474838133249651
volume_trend_5_20,0.06103754620791147
volatility_20,0.06099875715342374
atr_percent,0.0577129274531432
rsi,0.057572429783253935
distance_from_ma_50,0.05380544598605185
relative_strength_20_day,0.04298384081695241
return_20_day_past,0.0396342287810434
return_5_day_past,0.03862720062163278
daily_change,0.03852798390080625
distance_from_ma_20,0.03814814627031891
relative_strength_5_day,0.0373844543925198
relative_volume,0.0373707612801177
