direction,threshold,signals,actual_success_rate,average_future_return,median_future_return
UP,0.5,834,46.28297362110312,0.014360479188373276,-2.2262945216203422
DOWN,0.5,1372,47.44897959183674,0.9878430307847492,2.2452171023708
UP,0.55,348,42.81609195402299,-0.34741310578926154,-2.5030517239664487
DOWN,0.55,806,48.01488833746898,0.6296386724521801,2.189643631808491
UP,0.6,125,48.0,1.0163844025594986,-2.043268658031161
DOWN,0.6,332,45.48192771084337,0.8610574771993098,2.3221488891732367
UP,0.65,50,56.00000000000001,1.7476759665746147,2.228073428426114
DOWN,0.65,77,25.97402597402597,3.2704014664442034,4.210337179492729
UP,0.7,16,62.5,3.5274628298111725,4.455174901838099
DOWN,0.7,9,11.11111111111111,4.911306747455685,5.385977950701903
UP,0.75,2,50.0,11.377034942485665,11.377034942485665
DOWN,0.75,1,0.0,2.0861249945866467,2.0861249945866467
