feature,importance
atr_percent,0.18667703358156446
volatility_20,0.11980266763383592
price,0.08369814794239067
distance_from_ma_200,0.0656363774366349
distance_from_ma_50,0.0545604812868872
spy_return_5_day,0.05338482446912748
spy_return_20_day,0.0533746370047627
volume_trend_5_20,0.049600742376604987
distance_from_ma_20,0.044964064263577644
return_20_day_past,0.04431247790357651
rsi,0.043040645584888446
relative_strength_20_day,0.042671042742271646
relative_strength_5_day,0.04144009415894731
return_5_day_past,0.03945982646013371
daily_change,0.03944994908659367
relative_volume,0.03792698806820279
